SymbolIndex,SampleIndexAfterDelayRemoval,SampleTime_s,SampledVoltage_V,InstantFastCode_dec,InstantFastVout_V,VectorFastCode_dec,VectorFastVout_V
192,24647,3.438309546875e-09,0.230191600274717,113,0.2296875,113,0.2296875
193,24775,3.456166546875e-09,-0.106237952588507,41,-0.1078125,41,-0.1078125
194,24903,3.474023546875e-09,-0.213292749951187,18,-0.215625,18,-0.215625
195,25031,3.491880546875e-09,-0.0658513708513798,49,-0.0703125,49,-0.0703125
196,25159,3.509737546875e-09,0.235351939879017,114,0.234375,114,0.234375
197,25287,3.527594546875e-09,-0.0979172705557778,43,-0.0984375,43,-0.0984375
198,25415,3.545451546875e-09,-0.214973342115502,18,-0.215625,18,-0.215625
199,25543,3.563308546875e-09,-0.202079774057415,20,-0.20625,20,-0.20625
200,25671,3.581165546875e-09,0.226257874812973,112,0.225,112,0.225
201,25799,3.599022546875e-09,-0.241924051690462,12,-0.24375,12,-0.24375
202,25927,3.616879546875e-09,-0.0593209223187711,51,-0.0609375,51,-0.0609375
203,26055,3.634736546875e-09,0.229111189951987,112,0.225,112,0.225
204,26183,3.652593546875e-09,-0.215552189378573,18,-0.215625,18,-0.215625
205,26311,3.670450546875e-09,0.219717725138024,110,0.215625,110,0.215625
206,26439,3.688307546875e-09,-0.223810748170546,16,-0.225,16,-0.225
207,26567,3.706164546875e-09,0.244925540881141,116,0.24375,116,0.24375
208,26695,3.724021546875e-09,-0.100200531133275,42,-0.103125,42,-0.103125
209,26823,3.741878546875e-09,0.243104027511125,115,0.2390625,115,0.2390625
210,26951,3.759735546875e-09,-0.241428211357797,12,-0.24375,12,-0.24375
211,27079,3.777592546875e-09,0.0978906201788878,84,0.09375,84,0.09375
212,27207,3.795449546875e-09,0.222717214759027,111,0.2203125,111,0.2203125
213,27335,3.813306546875e-09,-0.098284717067391,43,-0.0984375,43,-0.0984375
214,27463,3.831163546875e-09,-0.231614161132516,14,-0.234375,14,-0.234375
215,27591,3.849020546875e-09,-0.210111931685578,19,-0.2109375,19,-0.2109375
216,27719,3.866877546875e-09,-0.243808185990007,11,-0.2484375,11,-0.2484375
217,27847,3.884734546875e-09,-0.0820012119819581,46,-0.084375,46,-0.084375
218,27975,3.902591546875e-09,-0.233762681582797,14,-0.234375,14,-0.234375
219,28103,3.920448546875e-09,-0.0517311932985924,52,-0.05625,52,-0.05625
